date,CPI level,city,category
2026-04-01,170.0651385743,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2026-05-01,170.4539093059,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2026-06-01,175.7000203645,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2026-07-01,177.3083850676,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2018-01-01,103.3832159647,POTOSÍ,Alimentos y bebidas no alcohólicas
2018-02-01,103.4890061303,POTOSÍ,Alimentos y bebidas no alcohólicas
2018-03-01,102.2231829279,POTOSÍ,Alimentos y bebidas no alcohólicas
2018-04-01,100.818307605,POTOSÍ,Alimentos y bebidas no alcohólicas
2018-05-01,100.7581504852,POTOSÍ,Alimentos y bebidas no alcohólicas
2018-06-01,101.8216777662,POTOSÍ,Alimentos y bebidas no alcohólicas
2018-07-01,102.2391050529,POTOSÍ,Alimentos y bebidas no alcohólicas
2018-08-01,102.204378998,POTOSÍ,Alimentos y bebidas no alcohólicas
2018-09-01,101.4541284638,POTOSÍ,Alimentos y bebidas no alcohólicas
2018-10-01,101.9750157243,POTOSÍ,Alimentos y bebidas no alcohólicas
2018-11-01,102.8259342304,POTOSÍ,Alimentos y bebidas no alcohólicas
2018-12-01,103.2956772417,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-01-01,103.5330080794,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-02-01,103.1996493217,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-03-01,103.2592042262,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-04-01,103.1466925901,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-05-01,104.9782968066,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-06-01,106.3233126276,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-07-01,106.6534530892,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-08-01,108.7266811284,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-09-01,109.275927308,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-10-01,111.0077280276,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-11-01,111.2904106572,POTOSÍ,Alimentos y bebidas no alcohólicas
2019-12-01,105.3305627022,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-01-01,103.5242124977,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-02-01,103.0242352454,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-03-01,103.9742168355,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-04-01,105.3007391143,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-05-01,103.536606198,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-06-01,104.1796499687,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-07-01,105.274584937,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-08-01,107.6378931428,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-09-01,103.0580204251,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-10-01,103.8530377143,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-11-01,103.9139468095,POTOSÍ,Alimentos y bebidas no alcohólicas
2020-12-01,104.1221423668,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-01-01,105.0051530351,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-02-01,105.030579975,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-03-01,104.3952026536,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-04-01,103.2826641215,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-05-01,103.8093837852,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-06-01,103.9499128485,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-07-01,106.2394542,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-08-01,106.4262822291,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-09-01,105.1670369182,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-10-01,103.6823783746,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-11-01,103.9960641751,POTOSÍ,Alimentos y bebidas no alcohólicas
2021-12-01,104.5880751074,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-01-01,104.59916152,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-02-01,105.4343532373,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-03-01,104.6283557035,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-04-01,104.5589251167,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-05-01,105.8098874829,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-06-01,108.4130356401,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-07-01,108.9365146933,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-08-01,108.6638597316,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-09-01,109.6776659402,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-10-01,111.9154815085,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-11-01,111.9322566,POTOSÍ,Alimentos y bebidas no alcohólicas
2022-12-01,112.1445928206,POTOSÍ,Alimentos y bebidas no alcohólicas
2023-01-01,111.4798742149,POTOSÍ,Alimentos y bebidas no alcohólicas
2023-02-01,109.7397020431,POTOSÍ,Alimentos y bebidas no alcohólicas
2023-03-01,109.1049320402,POTOSÍ,Alimentos y bebidas no alcohólicas
2023-04-01,108.0856314081,POTOSÍ,Alimentos y bebidas no alcohólicas
2023-05-01,109.934580198,POTOSÍ,Alimentos y bebidas no alcohólicas
2023-06-01,110.2536012662,POTOSÍ,Alimentos y bebidas no alcohólicas
2023-07-01,113.2802085,POTOSÍ,Alimentos y bebidas no alcohólicas
